[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 13, num timesteps 26624, FPS 500, time 53.17 seconds rewards: 321.11896216787886 492.2269270449049 std: 78.8124391125837 95.2133403048593 tensor([0.2000, 0.8000])
[RL] Updates 14, num timesteps 28672, FPS 501, time 57.12 seconds rewards: 339.7904141658706 518.5599446256562 std: 57.69215544748447 221.38092287693672 tensor([0.2000, 0.8000])
[RL] Updates 15, num timesteps 30720, FPS 502, time 61.10 seconds rewards: 327.46989929937496 490.86193593691826 std: 136.03292026170675 183.9591618867543 tensor([0.2000, 0.8000])
[RL] Updates 16, num timesteps 32768, FPS 503, time 65.03 seconds rewards: 355.39062927160205 551.6213548118454 std: 132.75887932286335 211.84567941843946 tensor([0.2000, 0.8000])
[RL] Updates 17, num timesteps 34816, FPS 504, time 69.04 seconds rewards: 473.9153023892203 833.0384757533636 std: 96.50991893923175 300.08254658441155 tensor([0.2000, 0.8000])
[RL] Updates 18, num timesteps 36864, FPS 504, time 73.01 seconds rewards: 373.3086569185631 667.9459686846905 std: 103.92883134225553 225.94657755318164 tensor([0.2000, 0.8000])
[RL] Updates 19, num timesteps 38912, FPS 505, time 76.91 seconds rewards: 429.55965694407814 819.385394009206 std: 155.55322210412004 307.76368558326925 tensor([0.2000, 0.8000])
[RL] Updates 20, num timesteps 40960, FPS 506, time 80.85 seconds rewards: 480.4893221774197 1022.3380464970066 std: 138.79246855029075 229.38806414995256 tensor([0.2000, 0.8000])
[RL] Updates 21, num timesteps 43008, FPS 507, time 84.80 seconds rewards: 447.2479995273885 1173.5112125599976 std: 114.8680229712808 196.4123444846813 tensor([0.2000, 0.8000])
[RL] Updates 22, num timesteps 45056, FPS 508, time 88.69 seconds rewards: 480.50357647725576 1275.3313447901278 std: 25.754548343222048 14.611346852618565 tensor([0.2000, 0.8000])
[RL] Updates 23, num timesteps 47104, FPS 508, time 92.66 seconds rewards: 470.26159277981344 1295.3531692724778 std: 42.33521661537587 16.76497852221411 tensor([0.2000, 0.8000])
[RL] Updates 24, num timesteps 49152, FPS 508, time 96.58 seconds rewards: 446.6954905979702 1262.0114351312486 std: 89.98110273865936 175.3176914980009 tensor([0.2000, 0.8000])
